は	1
の	2
た	3
に	4
を	5
だ	6
て	7
が	8
する	9
ない	10
いる	11
彼	12
と	13
で	14
ます	15
私	16
か	17
です	18
も	19
よ	20
ある	21
こと	22
その	23
彼女	24
トム	25
なる	26
ん	27
この	28
から	29
お	30
てる	31
れる	32
人	33
何	34
行く	35
ぬ	36
言う	37
たち	38
ば	39
あなた	40
思う	41
よう	42
ね	43
それ	44
できる	45
たい	46
見る	47
ら	48
いい	49
って	50
君	51
くる	52
くれる	53
どう	54
な	55
いう	56
家	57
知る	58
これ	59
もの	60
やる	61
まで	62
日	63
時	64
自分	65
好き	66
中	67
くださる	68
へ	69
つく	70
来る	71
もう	72
なさる	73
誰	74
僕	75
られる	76
メアリー	77
本	78
そう	79
語	80
仕事	81
より	82
持つ	83
ため	84
ここ	85
今	86
時間	87
話す	88
食べる	89
日本	90
方	91
せる	92
とても	93
一	94
あの	95
出る	96
よい	97
今日	98
車	99
前	100
聞く	101
しまう	102
買う	103
年	104
さん	105
だけ	106
よく	107
金	108
どこ	109
達	110
会う	111
的	112
子供	113
かける	114
けど	115
そんな	116
いく	117
者	118
つ	119
気	120
すぐ	121
取る	122
出す	123
英語	124
いつも	125
ところ	126
必要	127
入る	128
読む	129
問題	130
いける	131
べし	132
学校	133
フランス	134
部屋	135
事	136
まだ	137
本当	138
さ	139
・	140
書く	141
明日	142
勉強	143
みる	144
電話	145
目	146
我々	147
ず	148
手	149
わかる	150
いつ	151
とき	152
話	153
分かる	154
昨日	155
新しい	156
雨	157
使う	158
そこ	159
悪い	160
ほど	161
ご	162
少し	163
住む	164
考える	165
待つ	166
とる	167
なん	168
父	169
先生	170
良い	171
たくさん	172
飲む	173
下さる	174
犬	175
おく	176
見える	177
つもり	178
や	179
間	180
合う	181
上	182
立つ	183
高い	184
受ける	185
帰る	186
教える	187
かかる	188
入れる	189
後	190
忘れる	191
月	192
寝る	193
友達	194
男	195
ちゃう	196
もらう	197
すぎる	198
つける	199
みんな	200
もっと	201
手紙	202
結婚	203
うち	204
早い	205
よる	206
多く	207
一緒	208
働く	209
わ	210
降る	211
なんて	212
同じ	213
ちょっと	214
あげる	215
作る	216
水	217
乗る	218
歩く	219
計画	220
一番	221
俺	222
あまり	223
国	224
着く	225
くらい	226
二	227
どんな	228
始める	229
名前	230
アメリカ	231
また	232
バス	233
子	234
分	235
事故	236
ほとんど	237
成功	238
長い	239
世界	240
母	241
楽しい	242
死ぬ	243
歳	244
一人	245
病気	246
欲しい	247
テレビ	248
多い	249
言葉	250
すべて	251
駅	252
こんな	253
終わる	254
医者	255
旅行	256
少年	257
映画	258
機	259
ずっと	260
どの	261
会社	262
店	263
出来る	264
度	265
パーティー	266
込む	267
もし	268
しれる	269
若い	270
やめる	271
ボストン	272
不	273
起きる	274
遅れる	275
うまい	276
次	277
息子	278
猫	279
頭	280
試験	281
大きな	282
道	283
でる	284
生活	285
ほう	286
注意	287
コーヒー	288
顔	289
引く	290
学生	291
人間	292
運転	293
心	294
走る	295
難しい	296
ドア	297
他	298
夜	299
しか	300
人々	301
通り	302
座る	303
起こる	304
信ずる	305
お前	306
呼ぶ	307
美しい	308
毎日	309
以上	310
大	311
町	312
大学	313
出発	314
ながら	315
み	316
一度	317
大きい	318
わけ	319
願う	320
数	321
音楽	322
落ちる	323
忙しい	324
所	325
手伝う	326
上げる	327
全部	328
朝	329
飛行	330
生きる	331
物	332
花	333
ばかり	334
戻る	335
着る	336
ジョン	337
健康	338
東京	339
ドル	340
とも	341
見つける	342
力	343
女性	344
ありがとう	345
泣く	346
対する	347
質問	348
いただける	349
雪	350
最近	351
どれ	352
家族	353
